,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
731,2023-01-21,Anaheim Ducks,,Buffalo Sabres,,,,,
732,2023-01-21,San Jose Sharks,,Columbus Blue Jackets,,,,,
733,2023-01-21,Tampa Bay Lightning,,Calgary Flames,,,,,
734,2023-01-21,Arizona Coyotes,,Dallas Stars,,,,,
735,2023-01-21,Philadelphia Flyers,,Detroit Red Wings,,,,,
736,2023-01-21,Minnesota Wild,,Florida Panthers,,,,,
737,2023-01-21,Toronto Maple Leafs,,Montreal Canadiens,,,,,
738,2023-01-21,Los Angeles Kings,,Nashville Predators,,,,,
739,2023-01-21,Carolina Hurricanes,,New York Islanders,,,,,
740,2023-01-21,Winnipeg Jets,,Ottawa Senators,,,,,
741,2023-01-21,Colorado Avalanche,,Seattle Kraken,,,,,
742,2023-01-21,Chicago Blackhawks,,St. Louis Blues,,,,,
743,2023-01-21,Edmonton Oilers,,Vancouver Canucks,,,,,
744,2023-01-21,Washington Capitals,,Vegas Golden Knights,,,,,
