,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
882,2023-02-18,New York Islanders,,Boston Bruins,,,,,
883,2023-02-18,Washington Capitals,,Carolina Hurricanes,,,,,"at Carter-Finley Stadium (Raleigh, NC)"
884,2023-02-18,New York Rangers,,Calgary Flames,,,,,
885,2023-02-18,Columbus Blue Jackets,,Dallas Stars,,,,,
886,2023-02-18,Arizona Coyotes,,Los Angeles Kings,,,,,
887,2023-02-18,Florida Panthers,,Nashville Predators,,,,,
888,2023-02-18,New Jersey Devils,,Pittsburgh Penguins,,,,,
889,2023-02-18,Detroit Red Wings,,Seattle Kraken,,,,,
890,2023-02-18,Buffalo Sabres,,San Jose Sharks,,,,,
891,2023-02-18,Colorado Avalanche,,St. Louis Blues,,,,,
892,2023-02-18,Montreal Canadiens,,Toronto Maple Leafs,,,,,
893,2023-02-18,Philadelphia Flyers,,Vancouver Canucks,,,,,
894,2023-02-18,Tampa Bay Lightning,,Vegas Golden Knights,,,,,
