,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1256,2023-04-08,Anaheim Ducks,,Arizona Coyotes,,,,,
1257,2023-04-08,New Jersey Devils,,Boston Bruins,,,,,
1258,2023-04-08,Carolina Hurricanes,,Buffalo Sabres,,,,,
1259,2023-04-08,New York Rangers,,Columbus Blue Jackets,,,,,
1260,2023-04-08,Vegas Golden Knights,,Dallas Stars,,,,,
1261,2023-04-08,Pittsburgh Penguins,,Detroit Red Wings,,,,,
1262,2023-04-08,Colorado Avalanche,,Los Angeles Kings,,,,,
1263,2023-04-08,St. Louis Blues,,Minnesota Wild,,,,,
1264,2023-04-08,Philadelphia Flyers,,New York Islanders,,,,,
1265,2023-04-08,Tampa Bay Lightning,,Ottawa Senators,,,,,
1266,2023-04-08,Chicago Blackhawks,,Seattle Kraken,,,,,
1267,2023-04-08,Edmonton Oilers,,San Jose Sharks,,,,,
1268,2023-04-08,Montreal Canadiens,,Toronto Maple Leafs,,,,,
1269,2023-04-08,Calgary Flames,,Vancouver Canucks,,,,,
1270,2023-04-08,Nashville Predators,,Winnipeg Jets,,,,,
1271,2023-04-08,Florida Panthers,,Washington Capitals,,,,,
