,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
754,2023-01-24,Anaheim Ducks,,Arizona Coyotes,,,,,
755,2023-01-24,Washington Capitals,,Colorado Avalanche,,,,,
756,2023-01-24,San Jose Sharks,,Detroit Red Wings,,,,,
757,2023-01-24,Boston Bruins,,Montreal Canadiens,,,,,
758,2023-01-24,Vegas Golden Knights,,New Jersey Devils,,,,,
759,2023-01-24,Winnipeg Jets,,Nashville Predators,,,,,
760,2023-01-24,Los Angeles Kings,,Philadelphia Flyers,,,,,
761,2023-01-24,Florida Panthers,,Pittsburgh Penguins,,,,,
762,2023-01-24,Buffalo Sabres,,St. Louis Blues,,,,,
763,2023-01-24,Minnesota Wild,,Tampa Bay Lightning,,,,,
764,2023-01-24,Chicago Blackhawks,,Vancouver Canucks,,,,,
