,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1274,2023-04-10,Seattle Kraken,,Arizona Coyotes,,,,,
1275,2023-04-10,Nashville Predators,,Calgary Flames,,,,,
1276,2023-04-10,Minnesota Wild,,Chicago Blackhawks,,,,,
1277,2023-04-10,Dallas Stars,,Detroit Red Wings,,,,,
1278,2023-04-10,Toronto Maple Leafs,,Florida Panthers,,,,,
1279,2023-04-10,Vancouver Canucks,,Los Angeles Kings,,,,,
1280,2023-04-10,Buffalo Sabres,,New York Rangers,,,,,
1281,2023-04-10,Carolina Hurricanes,,Ottawa Senators,,,,,
1282,2023-04-10,San Jose Sharks,,Winnipeg Jets,,,,,
1283,2023-04-10,New York Islanders,,Washington Capitals,,,,,
