,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
317,2022-11-25,Ottawa Senators,,Anaheim Ducks,,,,,
318,2022-11-25,Carolina Hurricanes,,Boston Bruins,,,,,
319,2022-11-25,New Jersey Devils,,Buffalo Sabres,,,,,
320,2022-11-25,New York Islanders,,Columbus Blue Jackets,,,,,
321,2022-11-25,Montreal Canadiens,,Chicago Blackhawks,,,,,
322,2022-11-25,Winnipeg Jets,,Dallas Stars,,,,,
323,2022-11-25,Arizona Coyotes,,Detroit Red Wings,,,,,
324,2022-11-25,Toronto Maple Leafs,,Minnesota Wild,,,,,
325,2022-11-25,Colorado Avalanche,,Nashville Predators,,,,,
326,2022-11-25,Pittsburgh Penguins,,Philadelphia Flyers,,,,,
327,2022-11-25,Los Angeles Kings,,San Jose Sharks,,,,,
328,2022-11-25,St. Louis Blues,,Tampa Bay Lightning,,,,,
329,2022-11-25,Seattle Kraken,,Vegas Golden Knights,,,,,
330,2022-11-25,Calgary Flames,,Washington Capitals,,,,,
