,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1203,2023-04-01,San Jose Sharks,,Arizona Coyotes,,,,,
1204,2023-04-01,Florida Panthers,,Columbus Blue Jackets,,,,,
1205,2023-04-01,New Jersey Devils,,Chicago Blackhawks,,,,,
1206,2023-04-01,Dallas Stars,,Colorado Avalanche,,,,,
1207,2023-04-01,Anaheim Ducks,,Edmonton Oilers,,,,,
1208,2023-04-01,Carolina Hurricanes,,Montreal Canadiens,,,,,
1209,2023-04-01,St. Louis Blues,,Nashville Predators,,,,,
1210,2023-04-01,Toronto Maple Leafs,,Ottawa Senators,,,,,
1211,2023-04-01,Buffalo Sabres,,Philadelphia Flyers,,,,,
1212,2023-04-01,Boston Bruins,,Pittsburgh Penguins,,,,,
1213,2023-04-01,Los Angeles Kings,,Seattle Kraken,,,,,
1214,2023-04-01,New York Islanders,,Tampa Bay Lightning,,,,,
1215,2023-04-01,Minnesota Wild,,Vegas Golden Knights,,,,,
