,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
259,2022-11-17,Philadelphia Flyers,1.0,Boston Bruins,4.0,,17850.0,2:30,
260,2022-11-17,Colorado Avalanche,3.0,Carolina Hurricanes,2.0,OT,18680.0,2:33,
261,2022-11-17,Montreal Canadiens,4.0,Columbus Blue Jackets,6.0,,14914.0,2:36,
262,2022-11-17,Dallas Stars,6.0,Florida Panthers,4.0,,14428.0,2:38,
263,2022-11-17,Pittsburgh Penguins,6.0,Minnesota Wild,4.0,,18224.0,2:28,
264,2022-11-17,New York Islanders,4.0,Nashville Predators,5.0,,17159.0,2:25,
265,2022-11-17,New York Rangers,2.0,Seattle Kraken,3.0,OT,17151.0,2:28,
266,2022-11-17,Detroit Red Wings,7.0,San Jose Sharks,4.0,,14134.0,2:19,
267,2022-11-17,Washington Capitals,4.0,St. Louis Blues,5.0,SO,18096.0,2:50,
268,2022-11-17,Calgary Flames,1.0,Tampa Bay Lightning,4.0,,19092.0,2:38,
269,2022-11-17,New Jersey Devils,3.0,Toronto Maple Leafs,2.0,OT,18189.0,2:22,
270,2022-11-17,Arizona Coyotes,1.0,Vegas Golden Knights,4.0,,17708.0,2:27,
271,2022-11-17,Anaheim Ducks,2.0,Winnipeg Jets,3.0,,14278.0,2:24,
