,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
545,2022-12-27,Colorado Avalanche,,Arizona Coyotes,,,,,
546,2022-12-27,Chicago Blackhawks,,Carolina Hurricanes,,,,,
547,2022-12-27,Buffalo Sabres,,Columbus Blue Jackets,,,,,
548,2022-12-27,Edmonton Oilers,,Calgary Flames,,,,,
549,2022-12-27,Vegas Golden Knights,,Los Angeles Kings,,,,,
550,2022-12-27,Dallas Stars,,Nashville Predators,,,,,
551,2022-12-27,Pittsburgh Penguins,,New York Islanders,,,,,
552,2022-12-27,Washington Capitals,,New York Rangers,,,,,
553,2022-12-27,Boston Bruins,,Ottawa Senators,,,,,
554,2022-12-27,Toronto Maple Leafs,,St. Louis Blues,,,,,
555,2022-12-27,San Jose Sharks,,Vancouver Canucks,,,,,
556,2022-12-27,Minnesota Wild,,Winnipeg Jets,,,,,
