,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
24,2022-10-15,Arizona Coyotes,3.0,Boston Bruins,6.0,,17850.0,2:33,
25,2022-10-15,Florida Panthers,4.0,Buffalo Sabres,3.0,,11481.0,2:30,
26,2022-10-15,Nashville Predators,1.0,Dallas Stars,5.0,,18532.0,2:30,
27,2022-10-15,Calgary Flames,4.0,Edmonton Oilers,3.0,,18347.0,2:35,
28,2022-10-15,Los Angeles Kings,7.0,Minnesota Wild,6.0,,18421.0,2:44,
29,2022-10-15,Detroit Red Wings,5.0,New Jersey Devils,2.0,,16514.0,2:25,
30,2022-10-15,Anaheim Ducks,1.0,New York Islanders,7.0,,16487.0,2:32,
31,2022-10-15,Vancouver Canucks,2.0,Philadelphia Flyers,3.0,,14837.0,2:27,
32,2022-10-15,Tampa Bay Lightning,2.0,Pittsburgh Penguins,6.0,,18416.0,2:25,
33,2022-10-15,Vegas Golden Knights,5.0,Seattle Kraken,2.0,,17151.0,2:32,
34,2022-10-15,Chicago Blackhawks,5.0,San Jose Sharks,2.0,,15219.0,2:22,
35,2022-10-15,Columbus Blue Jackets,2.0,St. Louis Blues,5.0,,18096.0,2:19,
36,2022-10-15,Ottawa Senators,2.0,Toronto Maple Leafs,3.0,,18709.0,2:28,
37,2022-10-15,Montreal Canadiens,1.0,Washington Capitals,3.0,,18573.0,2:29,
