,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
787,2023-01-28,Arizona Coyotes,,Anaheim Ducks,,,,,
788,2023-01-28,St. Louis Blues,,Colorado Avalanche,,,,,
789,2023-01-28,Chicago Blackhawks,,Edmonton Oilers,,,,,
790,2023-01-28,Boston Bruins,,Florida Panthers,,,,,
791,2023-01-28,Buffalo Sabres,,Minnesota Wild,,,,,
792,2023-01-28,Vegas Golden Knights,,New York Islanders,,,,,
793,2023-01-28,Montreal Canadiens,,Ottawa Senators,,,,,
794,2023-01-28,San Jose Sharks,,Pittsburgh Penguins,,,,,
795,2023-01-28,Columbus Blue Jackets,,Seattle Kraken,,,,,
796,2023-01-28,Los Angeles Kings,,Tampa Bay Lightning,,,,,
797,2023-01-28,Philadelphia Flyers,,Winnipeg Jets,,,,,
