,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1024,2023-03-09,Nashville Predators,,Arizona Coyotes,,,,,
1025,2023-03-09,Edmonton Oilers,,Boston Bruins,,,,,
1026,2023-03-09,Dallas Stars,,Buffalo Sabres,,,,,
1027,2023-03-09,Philadelphia Flyers,,Carolina Hurricanes,,,,,
1028,2023-03-09,Los Angeles Kings,,Colorado Avalanche,,,,,
1029,2023-03-09,New York Rangers,,Montreal Canadiens,,,,,
1030,2023-03-09,New York Islanders,,Pittsburgh Penguins,,,,,
1031,2023-03-09,Ottawa Senators,,Seattle Kraken,,,,,
1032,2023-03-09,San Jose Sharks,,St. Louis Blues,,,,,
1033,2023-03-09,Vegas Golden Knights,,Tampa Bay Lightning,,,,,
1034,2023-03-09,New Jersey Devils,,Washington Capitals,,,,,
