,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
378,2022-12-03,Colorado Avalanche,,Boston Bruins,,,,,
379,2022-12-03,Washington Capitals,,Calgary Flames,,,,,
380,2022-12-03,Vegas Golden Knights,,Detroit Red Wings,,,,,
381,2022-12-03,Montreal Canadiens,,Edmonton Oilers,,,,,
382,2022-12-03,Carolina Hurricanes,,Los Angeles Kings,,,,,
383,2022-12-03,Anaheim Ducks,,Minnesota Wild,,,,,
384,2022-12-03,Chicago Blackhawks,,New York Rangers,,,,,
385,2022-12-03,San Jose Sharks,,Ottawa Senators,,,,,
386,2022-12-03,New Jersey Devils,,Philadelphia Flyers,,,,,
387,2022-12-03,St. Louis Blues,,Pittsburgh Penguins,,,,,
388,2022-12-03,Florida Panthers,,Seattle Kraken,,,,,
389,2022-12-03,Toronto Maple Leafs,,Tampa Bay Lightning,,,,,
390,2022-12-03,Arizona Coyotes,,Vancouver Canucks,,,,,
