,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1242,2023-04-06,Toronto Maple Leafs,,Boston Bruins,,,,,
1243,2023-04-06,Philadelphia Flyers,,Dallas Stars,,,,,
1244,2023-04-06,Buffalo Sabres,,Detroit Red Wings,,,,,
1245,2023-04-06,Ottawa Senators,,Florida Panthers,,,,,
1246,2023-04-06,Washington Capitals,,Montreal Canadiens,,,,,
1247,2023-04-06,Columbus Blue Jackets,,New Jersey Devils,,,,,
1248,2023-04-06,Carolina Hurricanes,,Nashville Predators,,,,,
1249,2023-04-06,Tampa Bay Lightning,,New York Islanders,,,,,
1250,2023-04-06,Minnesota Wild,,Pittsburgh Penguins,,,,,
1251,2023-04-06,Arizona Coyotes,,Seattle Kraken,,,,,
1252,2023-04-06,Colorado Avalanche,,San Jose Sharks,,,,,
1253,2023-04-06,New York Rangers,,St. Louis Blues,,,,,
1254,2023-04-06,Chicago Blackhawks,,Vancouver Canucks,,,,,
1255,2023-04-06,Los Angeles Kings,,Vegas Golden Knights,,,,,
