,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
351,2022-11-29,Tampa Bay Lightning,,Boston Bruins,,,,,
352,2022-11-29,Florida Panthers,,Calgary Flames,,,,,
353,2022-11-29,Seattle Kraken,,Los Angeles Kings,,,,,
354,2022-11-29,San Jose Sharks,,Montreal Canadiens,,,,,
355,2022-11-29,Anaheim Ducks,,Nashville Predators,,,,,
356,2022-11-29,New York Islanders,,Philadelphia Flyers,,,,,
357,2022-11-29,Carolina Hurricanes,,Pittsburgh Penguins,,,,,
358,2022-11-29,Washington Capitals,,Vancouver Canucks,,,,,
359,2022-11-29,Colorado Avalanche,,Winnipeg Jets,,,,,
