,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
562,2022-12-29,Toronto Maple Leafs,,Arizona Coyotes,,,,,
563,2022-12-29,Detroit Red Wings,,Buffalo Sabres,,,,,
564,2022-12-29,Los Angeles Kings,,Colorado Avalanche,,,,,
565,2022-12-29,Montreal Canadiens,,Florida Panthers,,,,,
566,2022-12-29,Dallas Stars,,Minnesota Wild,,,,,
567,2022-12-29,Columbus Blue Jackets,,New York Islanders,,,,,
568,2022-12-29,Philadelphia Flyers,,San Jose Sharks,,,,,
569,2022-12-29,Chicago Blackhawks,,St. Louis Blues,,,,,
570,2022-12-29,New York Rangers,,Tampa Bay Lightning,,,,,
571,2022-12-29,Vancouver Canucks,,Winnipeg Jets,,,,,
572,2022-12-29,Ottawa Senators,,Washington Capitals,,,,,
