,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
468,2022-12-15,Los Angeles Kings,,Boston Bruins,,,,,
469,2022-12-15,Seattle Kraken,,Carolina Hurricanes,,,,,
470,2022-12-15,Vegas Golden Knights,,Chicago Blackhawks,,,,,
471,2022-12-15,Buffalo Sabres,,Colorado Avalanche,,,,,
472,2022-12-15,St. Louis Blues,,Edmonton Oilers,,,,,
473,2022-12-15,Pittsburgh Penguins,,Florida Panthers,,,,,
474,2022-12-15,Anaheim Ducks,,Montreal Canadiens,,,,,
475,2022-12-15,Philadelphia Flyers,,New Jersey Devils,,,,,
476,2022-12-15,Toronto Maple Leafs,,New York Rangers,,,,,
477,2022-12-15,Columbus Blue Jackets,,Tampa Bay Lightning,,,,,
478,2022-12-15,Nashville Predators,,Winnipeg Jets,,,,,
479,2022-12-15,Dallas Stars,,Washington Capitals,,,,,
