,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
716,2023-01-19,Washington Capitals,,Arizona Coyotes,,,,,
717,2023-01-19,New York Islanders,,Buffalo Sabres,,,,,
718,2023-01-19,Minnesota Wild,,Carolina Hurricanes,,,,,
719,2023-01-19,Anaheim Ducks,,Columbus Blue Jackets,,,,,
720,2023-01-19,Tampa Bay Lightning,,Edmonton Oilers,,,,,
721,2023-01-19,Dallas Stars,,Los Angeles Kings,,,,,
722,2023-01-19,Florida Panthers,,Montreal Canadiens,,,,,
723,2023-01-19,Boston Bruins,,New York Rangers,,,,,
724,2023-01-19,Chicago Blackhawks,,Philadelphia Flyers,,,,,
725,2023-01-19,New Jersey Devils,,Seattle Kraken,,,,,
726,2023-01-19,Nashville Predators,,St. Louis Blues,,,,,
727,2023-01-19,Winnipeg Jets,,Toronto Maple Leafs,,,,,
728,2023-01-19,Detroit Red Wings,,Vegas Golden Knights,,,,,
