,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
597,2023-01-03,Tampa Bay Lightning,,Chicago Blackhawks,,,,,
598,2023-01-03,Seattle Kraken,,Edmonton Oilers,,,,,
599,2023-01-03,Arizona Coyotes,,Florida Panthers,,,,,
600,2023-01-03,Dallas Stars,,Los Angeles Kings,,,,,
601,2023-01-03,Montreal Canadiens,,Nashville Predators,,,,,
602,2023-01-03,Carolina Hurricanes,,New York Rangers,,,,,
603,2023-01-03,Columbus Blue Jackets,,Ottawa Senators,,,,,
604,2023-01-03,St. Louis Blues,,Toronto Maple Leafs,,,,,
605,2023-01-03,New York Islanders,,Vancouver Canucks,,,,,
606,2023-01-03,Calgary Flames,,Winnipeg Jets,,,,,
607,2023-01-03,Buffalo Sabres,,Washington Capitals,,,,,
