,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1228,2023-04-04,Ottawa Senators,,Carolina Hurricanes,,,,,
1229,2023-04-04,Chicago Blackhawks,,Calgary Flames,,,,,
1230,2023-04-04,Buffalo Sabres,,Florida Panthers,,,,,
1231,2023-04-04,Edmonton Oilers,,Los Angeles Kings,,,,,
1232,2023-04-04,Detroit Red Wings,,Montreal Canadiens,,,,,
1233,2023-04-04,Pittsburgh Penguins,,New Jersey Devils,,,,,
1234,2023-04-04,Vegas Golden Knights,,Nashville Predators,,,,,
1235,2023-04-04,Colorado Avalanche,,San Jose Sharks,,,,,
1236,2023-04-04,Philadelphia Flyers,,St. Louis Blues,,,,,
1237,2023-04-04,Columbus Blue Jackets,,Toronto Maple Leafs,,,,,
1238,2023-04-04,Seattle Kraken,,Vancouver Canucks,,,,,
