,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1134,2023-03-23,Winnipeg Jets,,Anaheim Ducks,,,,,
1135,2023-03-23,Montreal Canadiens,,Boston Bruins,,,,,
1136,2023-03-23,New York Rangers,,Carolina Hurricanes,,,,,
1137,2023-03-23,Vegas Golden Knights,,Calgary Flames,,,,,
1138,2023-03-23,Pittsburgh Penguins,,Dallas Stars,,,,,
1139,2023-03-23,St. Louis Blues,,Detroit Red Wings,,,,,
1140,2023-03-23,Toronto Maple Leafs,,Florida Panthers,,,,,
1141,2023-03-23,Seattle Kraken,,Nashville Predators,,,,,
1142,2023-03-23,Tampa Bay Lightning,,Ottawa Senators,,,,,
1143,2023-03-23,Minnesota Wild,,Philadelphia Flyers,,,,,
1144,2023-03-23,San Jose Sharks,,Vancouver Canucks,,,,,
1145,2023-03-23,Chicago Blackhawks,,Washington Capitals,,,,,
