,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
453,2022-12-13,New York Islanders,,Boston Bruins,,,,,
454,2022-12-13,Los Angeles Kings,,Buffalo Sabres,,,,,
455,2022-12-13,Washington Capitals,,Chicago Blackhawks,,,,,
456,2022-12-13,Philadelphia Flyers,,Colorado Avalanche,,,,,
457,2022-12-13,Carolina Hurricanes,,Detroit Red Wings,,,,,
458,2022-12-13,Columbus Blue Jackets,,Florida Panthers,,,,,
459,2022-12-13,Dallas Stars,,New Jersey Devils,,,,,
460,2022-12-13,Edmonton Oilers,,Nashville Predators,,,,,
461,2022-12-13,Arizona Coyotes,,San Jose Sharks,,,,,
462,2022-12-13,Seattle Kraken,,Tampa Bay Lightning,,,,,
463,2022-12-13,Anaheim Ducks,,Toronto Maple Leafs,,,,,
464,2022-12-13,Vegas Golden Knights,,Winnipeg Jets,,,,,
