,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
364,2022-12-01,Colorado Avalanche,,Buffalo Sabres,,,,,
365,2022-12-01,Montreal Canadiens,,Calgary Flames,,,,,
366,2022-12-01,Anaheim Ducks,,Dallas Stars,,,,,
367,2022-12-01,Arizona Coyotes,,Los Angeles Kings,,,,,
368,2022-12-01,Edmonton Oilers,,Minnesota Wild,,,,,
369,2022-12-01,Nashville Predators,,New Jersey Devils,,,,,
370,2022-12-01,Tampa Bay Lightning,,Philadelphia Flyers,,,,,
371,2022-12-01,Vegas Golden Knights,,Pittsburgh Penguins,,,,,
372,2022-12-01,Washington Capitals,,Seattle Kraken,,,,,
373,2022-12-01,Carolina Hurricanes,,St. Louis Blues,,,,,
374,2022-12-01,Florida Panthers,,Vancouver Canucks,,,,,
