,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1284,2023-04-11,Vancouver Canucks,,Anaheim Ducks,,,,,
1285,2023-04-11,Washington Capitals,,Boston Bruins,,,,,
1286,2023-04-11,Detroit Red Wings,,Carolina Hurricanes,,,,,
1287,2023-04-11,Edmonton Oilers,,Colorado Avalanche,,,,,
1288,2023-04-11,Winnipeg Jets,,Minnesota Wild,,,,,
1289,2023-04-11,Buffalo Sabres,,New Jersey Devils,,,,,
1290,2023-04-11,Columbus Blue Jackets,,Philadelphia Flyers,,,,,
1291,2023-04-11,Chicago Blackhawks,,Pittsburgh Penguins,,,,,
1292,2023-04-11,Toronto Maple Leafs,,Tampa Bay Lightning,,,,,
1293,2023-04-11,Seattle Kraken,,Vegas Golden Knights,,,,,
