,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
302,2022-11-23,New York Rangers,,Anaheim Ducks,,,,,
303,2022-11-23,St. Louis Blues,,Buffalo Sabres,,,,,
304,2022-11-23,Arizona Coyotes,,Carolina Hurricanes,,,,,
305,2022-11-23,Montreal Canadiens,,Columbus Blue Jackets,,,,,
306,2022-11-23,Vancouver Canucks,,Colorado Avalanche,,,,,
307,2022-11-23,Chicago Blackhawks,,Dallas Stars,,,,,
308,2022-11-23,Nashville Predators,,Detroit Red Wings,,,,,
309,2022-11-23,Boston Bruins,,Florida Panthers,,,,,
310,2022-11-23,Winnipeg Jets,,Minnesota Wild,,,,,
311,2022-11-23,Toronto Maple Leafs,,New Jersey Devils,,,,,
312,2022-11-23,Edmonton Oilers,,New York Islanders,,,,,
313,2022-11-23,Calgary Flames,,Pittsburgh Penguins,,,,,
314,2022-11-23,San Jose Sharks,,Seattle Kraken,,,,,
315,2022-11-23,Ottawa Senators,,Vegas Golden Knights,,,,,
316,2022-11-23,Philadelphia Flyers,,Washington Capitals,,,,,
