,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
676,2023-01-14,Toronto Maple Leafs,,Boston Bruins,,,,,
677,2023-01-14,Pittsburgh Penguins,,Carolina Hurricanes,,,,,
678,2023-01-14,Seattle Kraken,,Chicago Blackhawks,,,,,
679,2023-01-14,Ottawa Senators,,Colorado Avalanche,,,,,
680,2023-01-14,Calgary Flames,,Dallas Stars,,,,,
681,2023-01-14,Columbus Blue Jackets,,Detroit Red Wings,,,,,
682,2023-01-14,Vancouver Canucks,,Florida Panthers,,,,,
683,2023-01-14,New Jersey Devils,,Los Angeles Kings,,,,,
684,2023-01-14,Arizona Coyotes,,Minnesota Wild,,,,,
685,2023-01-14,Buffalo Sabres,,Nashville Predators,,,,,
686,2023-01-14,Montreal Canadiens,,New York Islanders,,,,,
687,2023-01-14,Tampa Bay Lightning,,St. Louis Blues,,,,,
688,2023-01-14,Edmonton Oilers,,Vegas Golden Knights,,,,,
689,2023-01-14,Philadelphia Flyers,,Washington Capitals,,,,,
