,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
532,2022-12-23,Calgary Flames,,Anaheim Ducks,,,,,
533,2022-12-23,Los Angeles Kings,,Arizona Coyotes,,,,,
534,2022-12-23,Tampa Bay Lightning,,Buffalo Sabres,,,,,
535,2022-12-23,Philadelphia Flyers,,Carolina Hurricanes,,,,,
536,2022-12-23,Columbus Blue Jackets,,Chicago Blackhawks,,,,,
537,2022-12-23,Montreal Canadiens,,Dallas Stars,,,,,
538,2022-12-23,Vancouver Canucks,,Edmonton Oilers,,,,,
539,2022-12-23,Boston Bruins,,New Jersey Devils,,,,,
540,2022-12-23,Colorado Avalanche,,Nashville Predators,,,,,
541,2022-12-23,Florida Panthers,,New York Islanders,,,,,
542,2022-12-23,Detroit Red Wings,,Ottawa Senators,,,,,
543,2022-12-23,St. Louis Blues,,Vegas Golden Knights,,,,,
544,2022-12-23,Winnipeg Jets,,Washington Capitals,,,,,
