,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
273,2022-11-19,Chicago Blackhawks,1.0,Boston Bruins,6.0,,17850.0,2:21,
274,2022-11-19,Detroit Red Wings,6.0,Columbus Blue Jackets,1.0,,18693.0,2:25,
275,2022-11-19,New York Islanders,2.0,Dallas Stars,5.0,,18532.0,2:25,
276,2022-11-19,Vegas Golden Knights,3.0,Edmonton Oilers,4.0,OT,18347.0,2:20,
277,2022-11-19,Calgary Flames,5.0,Florida Panthers,4.0,SO,15842.0,2:48,
278,2022-11-19,Carolina Hurricanes,1.0,Minnesota Wild,2.0,OT,18278.0,2:31,
279,2022-11-19,Philadelphia Flyers,4.0,Montreal Canadiens,5.0,SO,21105.0,2:41,
280,2022-11-19,Tampa Bay Lightning,3.0,Nashville Predators,2.0,OT,17444.0,2:32,
281,2022-11-19,New Jersey Devils,5.0,Ottawa Senators,1.0,,18881.0,2:33,
282,2022-11-19,Los Angeles Kings,2.0,Seattle Kraken,3.0,OT,17151.0,2:21,
283,2022-11-19,New York Rangers,2.0,San Jose Sharks,1.0,,17562.0,2:28,
284,2022-11-19,Anaheim Ducks,2.0,St. Louis Blues,6.0,,18096.0,2:27,
285,2022-11-19,Buffalo Sabres,2.0,Toronto Maple Leafs,5.0,,18645.0,2:26,
286,2022-11-19,Pittsburgh Penguins,3.0,Winnipeg Jets,0.0,,15325.0,2:26,
287,2022-11-19,Colorado Avalanche,4.0,Washington Capitals,0.0,,18573.0,2:26,
