,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
661,2023-01-12,Ottawa Senators,,Arizona Coyotes,,,,,
662,2023-01-12,Seattle Kraken,,Boston Bruins,,,,,
663,2023-01-12,Winnipeg Jets,,Buffalo Sabres,,,,,
664,2023-01-12,Carolina Hurricanes,,Columbus Blue Jackets,,,,,
665,2023-01-12,Colorado Avalanche,,Chicago Blackhawks,,,,,
666,2023-01-12,Toronto Maple Leafs,,Detroit Red Wings,,,,,
667,2023-01-12,Nashville Predators,,Montreal Canadiens,,,,,
668,2023-01-12,Minnesota Wild,,New York Islanders,,,,,
669,2023-01-12,Dallas Stars,,New York Rangers,,,,,
670,2023-01-12,Calgary Flames,,St. Louis Blues,,,,,
671,2023-01-12,Vancouver Canucks,,Tampa Bay Lightning,,,,,
672,2023-01-12,Florida Panthers,,Vegas Golden Knights,,,,,
