,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
483,2022-12-17,Buffalo Sabres,,Arizona Coyotes,,,,,
484,2022-12-17,Columbus Blue Jackets,,Boston Bruins,,,,,
485,2022-12-17,Dallas Stars,,Carolina Hurricanes,,,,,
486,2022-12-17,Nashville Predators,,Colorado Avalanche,,,,,
487,2022-12-17,Ottawa Senators,,Detroit Red Wings,,,,,
488,2022-12-17,Anaheim Ducks,,Edmonton Oilers,,,,,
489,2022-12-17,San Jose Sharks,,Los Angeles Kings,,,,,
490,2022-12-17,Tampa Bay Lightning,,Montreal Canadiens,,,,,
491,2022-12-17,Florida Panthers,,New Jersey Devils,,,,,
492,2022-12-17,New York Rangers,,Philadelphia Flyers,,,,,
493,2022-12-17,Winnipeg Jets,,Vancouver Canucks,,,,,
494,2022-12-17,New York Islanders,,Vegas Golden Knights,,,,,
495,2022-12-17,Toronto Maple Leafs,,Washington Capitals,,,,,
