,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
331,2022-11-26,Calgary Flames,,Carolina Hurricanes,,,,,
332,2022-11-26,Dallas Stars,,Colorado Avalanche,,,,,
333,2022-11-26,St. Louis Blues,,Florida Panthers,,,,,
334,2022-11-26,Washington Capitals,,New Jersey Devils,,,,,
335,2022-11-26,Columbus Blue Jackets,,Nashville Predators,,,,,
336,2022-11-26,Philadelphia Flyers,,New York Islanders,,,,,
337,2022-11-26,Edmonton Oilers,,New York Rangers,,,,,
338,2022-11-26,Toronto Maple Leafs,,Pittsburgh Penguins,,,,,
339,2022-11-26,Vancouver Canucks,,Vegas Golden Knights,,,,,
