,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
224,2022-11-12,Chicago Blackhawks,3.0,Anaheim Ducks,2.0,,15184.0,2:32,
225,2022-11-12,Boston Bruins,3.0,Buffalo Sabres,1.0,,19070.0,2:28,
226,2022-11-12,Winnipeg Jets,2.0,Calgary Flames,3.0,,18501.0,2:33,
227,2022-11-12,Carolina Hurricanes,1.0,Colorado Avalanche,4.0,,18127.0,2:21,
228,2022-11-12,Edmonton Oilers,4.0,Florida Panthers,2.0,,16579.0,2:24,
229,2022-11-12,Detroit Red Wings,3.0,Los Angeles Kings,4.0,,18230.0,2:26,
230,2022-11-12,Pittsburgh Penguins,4.0,Montreal Canadiens,5.0,OT,21105.0,2:35,
231,2022-11-12,Arizona Coyotes,2.0,New Jersey Devils,4.0,,16514.0,2:30,
232,2022-11-12,New York Rangers,1.0,Nashville Predators,2.0,,17169.0,2:25,
233,2022-11-12,Columbus Blue Jackets,3.0,New York Islanders,4.0,OT,17255.0,2:26,
234,2022-11-12,Ottawa Senators,4.0,Philadelphia Flyers,1.0,,16912.0,2:28,
235,2022-11-12,Vancouver Canucks,2.0,Toronto Maple Leafs,3.0,,19497.0,2:18,
236,2022-11-12,St. Louis Blues,3.0,Vegas Golden Knights,2.0,,18343.0,2:28,
