,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1119,2023-03-21,Calgary Flames,,Anaheim Ducks,,,,,
1120,2023-03-21,Ottawa Senators,,Boston Bruins,,,,,
1121,2023-03-21,Nashville Predators,,Buffalo Sabres,,,,,
1122,2023-03-21,Seattle Kraken,,Dallas Stars,,,,,
1123,2023-03-21,Tampa Bay Lightning,,Montreal Canadiens,,,,,
1124,2023-03-21,Minnesota Wild,,New Jersey Devils,,,,,
1125,2023-03-21,Toronto Maple Leafs,,New York Islanders,,,,,
1126,2023-03-21,Carolina Hurricanes,,New York Rangers,,,,,
1127,2023-03-21,Florida Panthers,,Philadelphia Flyers,,,,,
1128,2023-03-21,Detroit Red Wings,,St. Louis Blues,,,,,
1129,2023-03-21,Vegas Golden Knights,,Vancouver Canucks,,,,,
1130,2023-03-21,Arizona Coyotes,,Winnipeg Jets,,,,,
1131,2023-03-21,Columbus Blue Jackets,,Washington Capitals,,,,,
