,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
973,2023-03-02,Buffalo Sabres,,Boston Bruins,,,,,
974,2023-03-02,Toronto Maple Leafs,,Calgary Flames,,,,,
975,2023-03-02,Dallas Stars,,Chicago Blackhawks,,,,,
976,2023-03-02,Seattle Kraken,,Detroit Red Wings,,,,,
977,2023-03-02,Nashville Predators,,Florida Panthers,,,,,
978,2023-03-02,Montreal Canadiens,,Los Angeles Kings,,,,,
979,2023-03-02,Ottawa Senators,,New York Rangers,,,,,
980,2023-03-02,St. Louis Blues,,San Jose Sharks,,,,,
981,2023-03-02,Pittsburgh Penguins,,Tampa Bay Lightning,,,,,
982,2023-03-02,Minnesota Wild,,Vancouver Canucks,,,,,
