,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
935,2023-02-25,Anaheim Ducks,,Carolina Hurricanes,,,,,
936,2023-02-25,Edmonton Oilers,,Columbus Blue Jackets,,,,,
937,2023-02-25,Calgary Flames,,Colorado Avalanche,,,,,
938,2023-02-25,Tampa Bay Lightning,,Detroit Red Wings,,,,,
939,2023-02-25,Ottawa Senators,,Montreal Canadiens,,,,,
940,2023-02-25,Philadelphia Flyers,,New Jersey Devils,,,,,
941,2023-02-25,Chicago Blackhawks,,San Jose Sharks,,,,,
942,2023-02-25,Pittsburgh Penguins,,St. Louis Blues,,,,,
943,2023-02-25,Boston Bruins,,Vancouver Canucks,,,,,
944,2023-02-25,Dallas Stars,,Vegas Golden Knights,,,,,
945,2023-02-25,New York Rangers,,Washington Capitals,,,,,
