,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
423,2022-12-09,San Jose Sharks,,Anaheim Ducks,,,,,
424,2022-12-09,Boston Bruins,,Arizona Coyotes,,,,,
425,2022-12-09,Pittsburgh Penguins,,Buffalo Sabres,,,,,
426,2022-12-09,Calgary Flames,,Columbus Blue Jackets,,,,,
427,2022-12-09,Winnipeg Jets,,Chicago Blackhawks,,,,,
428,2022-12-09,New York Rangers,,Colorado Avalanche,,,,,
429,2022-12-09,Minnesota Wild,,Edmonton Oilers,,,,,
430,2022-12-09,New York Islanders,,New Jersey Devils,,,,,
431,2022-12-09,Philadelphia Flyers,,Vegas Golden Knights,,,,,
432,2022-12-09,Seattle Kraken,,Washington Capitals,,,,,
