,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
146,2022-11-01,Florida Panthers,1.0,Arizona Coyotes,3.0,,4600.0,2:30,
147,2022-11-01,Seattle Kraken,5.0,Calgary Flames,4.0,,16803.0,2:33,
148,2022-11-01,New York Islanders,3.0,Chicago Blackhawks,1.0,,12523.0,2:25,
149,2022-11-01,Los Angeles Kings,2.0,Dallas Stars,5.0,,18374.0,2:28,
150,2022-11-01,Nashville Predators,4.0,Edmonton Oilers,7.0,,16812.0,2:37,
151,2022-11-01,Montreal Canadiens,1.0,Minnesota Wild,4.0,,16385.0,2:26,
152,2022-11-01,Philadelphia Flyers,0.0,New York Rangers,1.0,OT,17206.0,2:29,
153,2022-11-01,Boston Bruins,6.0,Pittsburgh Penguins,5.0,OT,17629.0,2:43,
154,2022-11-01,Anaheim Ducks,6.0,San Jose Sharks,5.0,SO,10058.0,2:42,
155,2022-11-01,Ottawa Senators,3.0,Tampa Bay Lightning,4.0,,19092.0,2:33,
156,2022-11-01,New Jersey Devils,5.0,Vancouver Canucks,2.0,,18548.0,2:24,
157,2022-11-01,Vegas Golden Knights,3.0,Washington Capitals,2.0,OT,18573.0,2:34,
