,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
160,2022-11-03,Dallas Stars,7.0,Arizona Coyotes,2.0,,4600.0,2:25,
161,2022-11-03,Nashville Predators,4.0,Calgary Flames,1.0,,16984.0,2:31,
162,2022-11-03,Los Angeles Kings,1.0,Chicago Blackhawks,2.0,OT,16658.0,2:30,
163,2022-11-03,Washington Capitals,1.0,Detroit Red Wings,3.0,,18527.0,2:25,
164,2022-11-03,New Jersey Devils,4.0,Edmonton Oilers,3.0,,17021.0,2:22,
165,2022-11-03,Seattle Kraken,4.0,Minnesota Wild,0.0,,17221.0,2:19,
166,2022-11-03,Boston Bruins,5.0,New York Rangers,2.0,,18006.0,2:21,
167,2022-11-03,Vegas Golden Knights,5.0,Ottawa Senators,4.0,,16043.0,2:34,
168,2022-11-03,Florida Panthers,4.0,San Jose Sharks,3.0,SO,10182.0,2:42,
169,2022-11-03,New York Islanders,5.0,St. Louis Blues,2.0,,18096.0,2:33,
170,2022-11-03,Carolina Hurricanes,4.0,Tampa Bay Lightning,3.0,SO,19092.0,3:01,
171,2022-11-03,Anaheim Ducks,5.0,Vancouver Canucks,8.0,,18760.0,2:34,
172,2022-11-03,Montreal Canadiens,2.0,Winnipeg Jets,3.0,OT,13729.0,2:27,
