,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
58,2022-10-20,Anaheim Ducks,1.0,Boston Bruins,2.0,SO,17850.0,2:48,
59,2022-10-20,Nashville Predators,3.0,Columbus Blue Jackets,5.0,,14691.0,2:37,
60,2022-10-20,Buffalo Sabres,6.0,Calgary Flames,3.0,,17080.0,2:28,
61,2022-10-20,Carolina Hurricanes,4.0,Edmonton Oilers,6.0,,16023.0,2:38,
62,2022-10-20,Vancouver Canucks,3.0,Minnesota Wild,4.0,OT,17323.0,2:29,
63,2022-10-20,Arizona Coyotes,2.0,Montreal Canadiens,6.0,,20691.0,2:28,
64,2022-10-20,New Jersey Devils,4.0,New York Islanders,1.0,,16046.0,2:22,
65,2022-10-20,San Jose Sharks,3.0,New York Rangers,2.0,OT,17083.0,2:27,
66,2022-10-20,Washington Capitals,2.0,Ottawa Senators,5.0,,14210.0,2:28,
67,2022-10-20,Los Angeles Kings,1.0,Pittsburgh Penguins,6.0,,17136.0,2:27,
68,2022-10-20,Dallas Stars,2.0,Toronto Maple Leafs,3.0,OT,18488.0,2:50,
69,2022-10-20,Winnipeg Jets,2.0,Vegas Golden Knights,5.0,,17777.0,2:19,
