,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
509,2022-12-20,New Jersey Devils,,Carolina Hurricanes,,,,,
510,2022-12-20,Anaheim Ducks,,Los Angeles Kings,,,,,
511,2022-12-20,Columbus Blue Jackets,,Philadelphia Flyers,,,,,
512,2022-12-20,New York Rangers,,Pittsburgh Penguins,,,,,
513,2022-12-20,St. Louis Blues,,Seattle Kraken,,,,,
514,2022-12-20,Calgary Flames,,San Jose Sharks,,,,,
515,2022-12-20,Tampa Bay Lightning,,Toronto Maple Leafs,,,,,
516,2022-12-20,Ottawa Senators,,Winnipeg Jets,,,,,
