,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
577,2022-12-31,Buffalo Sabres,,Boston Bruins,,,,,
578,2022-12-31,Chicago Blackhawks,,Columbus Blue Jackets,,,,,
579,2022-12-31,Vancouver Canucks,,Calgary Flames,,,,,
580,2022-12-31,Toronto Maple Leafs,,Colorado Avalanche,,,,,
581,2022-12-31,San Jose Sharks,,Dallas Stars,,,,,
582,2022-12-31,Ottawa Senators,,Detroit Red Wings,,,,,
583,2022-12-31,Winnipeg Jets,,Edmonton Oilers,,,,,
584,2022-12-31,Philadelphia Flyers,,Los Angeles Kings,,,,,
585,2022-12-31,Minnesota Wild,,St. Louis Blues,,,,,
586,2022-12-31,Arizona Coyotes,,Tampa Bay Lightning,,,,,
587,2022-12-31,Nashville Predators,,Vegas Golden Knights,,,,,
588,2022-12-31,Montreal Canadiens,,Washington Capitals,,,,,
