,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
957,2023-02-28,Chicago Blackhawks,,Arizona Coyotes,,,,,
958,2023-02-28,Columbus Blue Jackets,,Buffalo Sabres,,,,,
959,2023-02-28,Boston Bruins,,Calgary Flames,,,,,
960,2023-02-28,New York Islanders,,Minnesota Wild,,,,,
961,2023-02-28,Pittsburgh Penguins,,Nashville Predators,,,,,
962,2023-02-28,Detroit Red Wings,,Ottawa Senators,,,,,
963,2023-02-28,Montreal Canadiens,,San Jose Sharks,,,,,
964,2023-02-28,Seattle Kraken,,St. Louis Blues,,,,,
965,2023-02-28,Florida Panthers,,Tampa Bay Lightning,,,,,
966,2023-02-28,Los Angeles Kings,,Winnipeg Jets,,,,,
