,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
611,2023-01-05,Nashville Predators,,Carolina Hurricanes,,,,,
612,2023-01-05,Washington Capitals,,Columbus Blue Jackets,,,,,
613,2023-01-05,New York Islanders,,Edmonton Oilers,,,,,
614,2023-01-05,Boston Bruins,,Los Angeles Kings,,,,,
615,2023-01-05,New York Rangers,,Montreal Canadiens,,,,,
616,2023-01-05,St. Louis Blues,,New Jersey Devils,,,,,
617,2023-01-05,Arizona Coyotes,,Philadelphia Flyers,,,,,
618,2023-01-05,Seattle Kraken,,Toronto Maple Leafs,,,,,
619,2023-01-05,Colorado Avalanche,,Vancouver Canucks,,,,,
620,2023-01-05,Pittsburgh Penguins,,Vegas Golden Knights,,,,,
