,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
1079,2023-03-16,Vancouver Canucks,,Arizona Coyotes,,,,,
1080,2023-03-16,Dallas Stars,,Edmonton Oilers,,,,,
1081,2023-03-16,Montreal Canadiens,,Florida Panthers,,,,,
1082,2023-03-16,Columbus Blue Jackets,,Los Angeles Kings,,,,,
1083,2023-03-16,Tampa Bay Lightning,,New Jersey Devils,,,,,
1084,2023-03-16,Chicago Blackhawks,,Nashville Predators,,,,,
1085,2023-03-16,Pittsburgh Penguins,,New York Rangers,,,,,
1086,2023-03-16,Colorado Avalanche,,Ottawa Senators,,,,,
1087,2023-03-16,Seattle Kraken,,San Jose Sharks,,,,,
1088,2023-03-16,Calgary Flames,,Vegas Golden Knights,,,,,
1089,2023-03-16,Boston Bruins,,Winnipeg Jets,,,,,
