,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
647,2023-01-10,San Jose Sharks,,Arizona Coyotes,,,,,
648,2023-01-10,Seattle Kraken,,Buffalo Sabres,,,,,
649,2023-01-10,New Jersey Devils,,Carolina Hurricanes,,,,,
650,2023-01-10,Florida Panthers,,Colorado Avalanche,,,,,
651,2023-01-10,Winnipeg Jets,,Detroit Red Wings,,,,,
652,2023-01-10,Dallas Stars,,New York Islanders,,,,,
653,2023-01-10,Minnesota Wild,,New York Rangers,,,,,
654,2023-01-10,Vancouver Canucks,,Pittsburgh Penguins,,,,,
655,2023-01-10,Calgary Flames,,St. Louis Blues,,,,,
656,2023-01-10,Columbus Blue Jackets,,Tampa Bay Lightning,,,,,
