,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
326,322,6,"Oct 1, 2022",12:00 PM,Sat,Air Force,13,,Navy,10,
327,323,6,"Oct 1, 2022",3:30 PM,Sat,(2) Alabama,49,@,(20) Arkansas,26,
328,324,6,"Oct 1, 2022",3:30 PM,Sat,Appalachian State,49,,Citadel,0,
329,325,6,"Oct 1, 2022",9:30 PM,Sat,Arizona,43,,Colorado,20,
330,326,6,"Oct 1, 2022",7:00 PM,Sat,Arkansas State,45,,Louisiana-Monroe,28,
331,327,6,"Oct 1, 2022",2:00 PM,Sat,Ball State,44,,Northern Illinois,38,
332,328,6,"Oct 1, 2022",12:00 PM,Sat,Boston College,34,,Louisville,33,
333,329,6,"Oct 1, 2022",3:30 PM,Sat,Bowling Green,31,@,Akron,28,
334,330,6,"Oct 1, 2022",3:30 PM,Sat,Buffalo,24,,Miami (OH),20,
335,331,6,"Oct 1, 2022",7:00 PM,Sat,Cincinnati,31,@,Tulsa,21,
336,332,6,"Oct 1, 2022",7:30 PM,Sat,(5) Clemson,30,,(10) North Carolina State,20,
337,333,6,"Oct 1, 2022",7:00 PM,Sat,Coastal Carolina,34,,Georgia Southern,30,
338,334,6,"Oct 1, 2022",3:30 PM,Sat,Connecticut,19,,Fresno State,14,
339,335,6,"Oct 1, 2022",7:30 PM,Sat,Duke,38,,Virginia,17,
340,336,6,"Oct 1, 2022",2:30 PM,Sat,East Carolina,48,N,South Florida,28,
341,337,6,"Oct 1, 2022",2:00 PM,Sat,Eastern Michigan,20,,Massachusetts,13,
342,338,6,"Oct 1, 2022",8:00 PM,Sat,Florida International,21,@,New Mexico State,7,
343,339,6,"Oct 1, 2022",7:30 PM,Sat,(1) Georgia,26,@,Missouri,22,
344,340,6,"Oct 1, 2022",12:00 PM,Sat,Georgia State,31,@,Army,14,
345,341,6,"Oct 1, 2022",8:00 PM,Sat,Georgia Tech,26,@,(24) Pittsburgh,21,
346,342,6,"Oct 1, 2022",12:00 PM,Sat,Illinois,34,@,Wisconsin,10,
347,343,6,"Oct 1, 2022",1:30 PM,Sat,James Madison,40,,Texas State,13,
348,344,6,"Oct 1, 2022",3:30 PM,Sat,Kansas,14,,Iowa State,11,
349,345,6,"Oct 1, 2022",12:00 PM,Sat,(25) Kansas State,37,,Texas Tech,28,
350,346,6,"Oct 1, 2022",3:30 PM,Sat,Kent State,31,,Ohio,24,
351,347,6,"Oct 1, 2022",6:00 PM,Sat,Liberty,38,@,Old Dominion,24,
352,348,6,"Oct 1, 2022",7:00 PM,Sat,Louisiana State,21,@,Auburn,17,
353,349,6,"Oct 1, 2022",3:30 PM,Sat,Marshall,28,,Gardner-Webb,7,
354,350,6,"Oct 1, 2022",3:30 PM,Sat,Maryland,27,,Michigan State,13,
355,351,6,"Oct 1, 2022",12:00 PM,Sat,Memphis,24,,Temple,3,
356,352,6,"Oct 1, 2022",12:00 PM,Sat,(4) Michigan,27,@,Iowa,14,
357,353,6,"Oct 1, 2022",12:00 PM,Sat,(14) Mississippi,22,,(7) Kentucky,19,
358,354,6,"Oct 1, 2022",4:00 PM,Sat,Mississippi State,42,,(17) Texas A&M,24,
359,355,6,"Oct 1, 2022",7:30 PM,Sat,Nebraska,35,,Indiana,21,
360,356,6,"Oct 1, 2022",3:30 PM,Sat,North Carolina,41,,Virginia Tech,10,
361,357,6,"Oct 1, 2022",4:00 PM,Sat,North Texas,45,,Florida Atlantic,28,
362,358,6,"Oct 1, 2022",3:30 PM,Sat,(3) Ohio State,49,,Rutgers,10,
363,359,6,"Oct 1, 2022",3:30 PM,Sat,(9) Oklahoma State,36,@,(16) Baylor,25,
364,360,6,"Oct 1, 2022",11:00 PM,Sat,(13) Oregon,45,,Stanford,27,
365,361,6,"Oct 1, 2022",3:30 PM,Sat,(11) Penn State,17,,Northwestern,7,
366,362,6,"Oct 1, 2022",12:00 PM,Sat,Purdue,20,@,(21) Minnesota,10,
367,363,6,"Oct 1, 2022",7:30 PM,Sat,Rice,28,,Alabama-Birmingham,24,
368,364,6,"Oct 1, 2022",7:30 PM,Sat,San Jose State,33,@,Wyoming,16,
369,365,6,"Oct 1, 2022",5:00 PM,Sat,South Alabama,20,@,Louisiana,17,
370,366,6,"Oct 1, 2022",10:30 PM,Sat,(6) Southern California,42,,Arizona State,25,
371,367,6,"Oct 1, 2022",5:00 PM,Sat,Syracuse,59,,Wagner,0,
372,368,6,"Oct 1, 2022",7:30 PM,Sat,Texas,38,,West Virginia,20,
373,369,6,"Oct 1, 2022",12:00 PM,Sat,Texas Christian,55,,(18) Oklahoma,24,
374,370,6,"Oct 1, 2022",6:00 PM,Sat,Texas-El Paso,41,@,Charlotte,35,
375,371,6,"Oct 1, 2022",3:30 PM,Sat,Toledo,38,,Central Michigan,17,
376,372,6,"Oct 1, 2022",7:00 PM,Sat,Troy,34,@,Western Kentucky,27,
377,373,6,"Oct 1, 2022",2:00 PM,Sat,(12) Utah,42,,Oregon State,16,
378,374,6,"Oct 1, 2022",3:30 PM,Sat,(22) Wake Forest,31,@,(23) Florida State,21,
379,375,6,"Oct 1, 2022",5:30 PM,Sat,Washington State,28,,California,9,
380,376,6,"Oct 1, 2022",6:00 PM,Sat,Western Michigan,44,,New Hampshire,7,
