,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
164,163,3,"Sep 10, 2022",12:00 PM,Sat,Texas-San Antonio,41,@,Army,38,
165,164,3,"Sep 10, 2022",7:00 PM,Sat,Toledo,55,,Massachusetts,10,
166,165,3,"Sep 10, 2022",8:00 PM,Sat,Troy,38,,Alabama A&M,17,
167,166,3,"Sep 10, 2022",7:00 PM,Sat,Tulane,52,,Alcorn State,0,
168,167,3,"Sep 10, 2022",7:00 PM,Sat,Tulsa,38,,Northern Illinois,35,
169,168,3,"Sep 10, 2022",5:00 PM,Sat,UCLA,45,,Alabama State,7,
170,169,3,"Sep 10, 2022",1:30 PM,Sat,(13) Utah,73,,Southern Utah,7,
171,170,3,"Sep 10, 2022",8:00 PM,Sat,Virginia Tech,27,,Boston College,10,
172,171,3,"Sep 10, 2022",12:00 PM,Sat,(23) Wake Forest,45,@,Vanderbilt,25,
173,172,3,"Sep 10, 2022",4:00 PM,Sat,Washington,52,,Portland State,6,
174,173,3,"Sep 10, 2022",3:30 PM,Sat,Washington State,17,@,(19) Wisconsin,14,
175,174,3,"Sep 10, 2022",7:00 PM,Sat,Weber State,35,@,Utah State,7,
176,175,3,"Sep 10, 2022",2:00 PM,Sat,Western Michigan,37,@,Ball State,30,
177,176,3,"Sep 10, 2022",4:00 PM,Sat,Wyoming,33,,Northern Colorado,10,
