,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
671,661,12,"Nov 12, 2022",3:30 PM,Sat,Air Force,35,,New Mexico,3,
672,662,12,"Nov 12, 2022",3:30 PM,Sat,(10) Alabama,30,@,(11) Mississippi,24,
673,663,12,"Nov 12, 2022",3:30 PM,Sat,Alabama-Birmingham,41,,North Texas,21,
674,664,12,"Nov 12, 2022",10:30 PM,Sat,Arizona,34,@,(9) UCLA,28,
675,665,12,"Nov 12, 2022",3:00 PM,Sat,Arkansas State,35,,Massachusetts,33,
676,666,12,"Nov 12, 2022",7:30 PM,Sat,Auburn,13,,Texas A&M,10,
677,667,12,"Nov 12, 2022",10:30 PM,Sat,Boise State,41,@,Nevada,3,
678,668,12,"Nov 12, 2022",3:30 PM,Sat,Boston College,21,@,(17) North Carolina State,20,
679,669,12,"Nov 12, 2022",3:30 PM,Sat,(22) Central Florida,38,@,(16) Tulane,31,
680,670,12,"Nov 12, 2022",3:30 PM,Sat,(12) Clemson,31,,Louisville,16,
681,671,12,"Nov 12, 2022",7:30 PM,Sat,Coastal Carolina,26,,Southern Mississippi,23,
682,672,12,"Nov 12, 2022",12:00 PM,Sat,Connecticut,36,,(19) Liberty,33,
683,673,12,"Nov 12, 2022",12:00 PM,Sat,Duke,24,,Virginia Tech,7,
684,674,12,"Nov 12, 2022",4:00 PM,Sat,Florida,38,,South Carolina,6,
685,675,12,"Nov 12, 2022",7:00 PM,Sat,Florida Atlantic,52,@,Florida International,7,
686,676,12,"Nov 12, 2022",8:00 PM,Sat,(25) Florida State,38,@,Syracuse,3,
687,677,12,"Nov 12, 2022",7:00 PM,Sat,(1) Georgia,45,@,Mississippi State,19,
688,678,12,"Nov 12, 2022",3:00 PM,Sat,Houston,43,,Temple,36,
689,679,12,"Nov 12, 2022",3:35 PM,Sat,Iowa,24,,Wisconsin,10,
690,680,12,"Nov 12, 2022",1:00 PM,Sat,James Madison,37,@,Old Dominion,3,
691,681,12,"Nov 12, 2022",7:00 PM,Sat,(23) Kansas State,31,@,Baylor,3,
692,682,12,"Nov 12, 2022",12:00 PM,Sat,(7) Louisiana State,13,@,Arkansas,10,
693,683,12,"Nov 12, 2022",1:00 PM,Sat,Louisiana-Monroe,31,@,Georgia State,28,
694,684,12,"Nov 12, 2022",3:30 PM,Sat,Marshall,28,,Appalachian State,21,
695,685,12,"Nov 12, 2022",3:30 PM,Sat,Miami (FL),35,@,Georgia Tech,14,
696,686,12,"Nov 12, 2022",3:30 PM,Sat,(3) Michigan,34,,Nebraska,3,
697,687,12,"Nov 12, 2022",12:00 PM,Sat,Michigan State,27,,Rutgers,21,
698,688,12,"Nov 12, 2022",3:30 PM,Sat,Middle Tennessee State,24,,Charlotte,14,
699,689,12,"Nov 12, 2022",3:30 PM,Sat,Minnesota,31,,Northwestern,3,
700,690,12,"Nov 12, 2022",2:00 PM,Sat,New Mexico State,51,,Lamar,14,
701,691,12,"Nov 12, 2022",7:30 PM,Sat,(15) North Carolina,36,@,Wake Forest,34,
702,692,12,"Nov 12, 2022",12:00 PM,Sat,(20) Notre Dame,35,N,Navy,32,
703,693,12,"Nov 12, 2022",12:00 PM,Sat,(2) Ohio State,56,,Indiana,14,
704,694,12,"Nov 12, 2022",3:30 PM,Sat,Oklahoma State,20,,Iowa State,14,
705,695,12,"Nov 12, 2022",9:00 PM,Sat,Oregon State,38,,California,10,
706,696,12,"Nov 12, 2022",3:30 PM,Sat,(14) Penn State,30,,Maryland,0,
707,697,12,"Nov 12, 2022",12:00 PM,Sat,Pittsburgh,37,@,Virginia,7,
708,698,12,"Nov 12, 2022",12:00 PM,Sat,Purdue,31,@,(21) Illinois,24,
709,699,12,"Nov 12, 2022",10:30 PM,Sat,San Diego State,43,,San Jose State,27,
710,700,12,"Nov 12, 2022",5:00 PM,Sat,South Alabama,38,,Texas State,21,
711,701,12,"Nov 12, 2022",12:00 PM,Sat,Southern Methodist,41,@,South Florida,23,
712,702,12,"Nov 12, 2022",12:00 PM,Sat,(5) Tennessee,66,,Missouri,24,
713,703,12,"Nov 12, 2022",7:30 PM,Sat,(4) Texas Christian,17,@,(18) Texas,10,
714,704,12,"Nov 12, 2022",7:00 PM,Sat,Texas Tech,43,,Kansas,28,
715,705,12,"Nov 12, 2022",3:30 PM,Sat,Texas-San Antonio,51,,Louisiana Tech,7,
716,706,12,"Nov 12, 2022",3:30 PM,Sat,Troy,10,,Army,9,
717,707,12,"Nov 12, 2022",10:00 PM,Sat,(13) Utah,42,,Stanford,7,
718,708,12,"Nov 12, 2022",11:00 PM,Sat,Utah State,41,@,Hawaii,34,
719,709,12,"Nov 12, 2022",12:00 PM,Sat,Vanderbilt,24,@,Kentucky,21,
720,710,12,"Nov 12, 2022",7:00 PM,Sat,(24) Washington,37,@,(6) Oregon,34,
721,711,12,"Nov 12, 2022",3:30 PM,Sat,Washington State,28,,Arizona State,18,
722,712,12,"Nov 12, 2022",12:00 PM,Sat,West Virginia,23,,Oklahoma,20,
723,713,12,"Nov 12, 2022",2:00 PM,Sat,Western Kentucky,45,,Rice,10,
724,714,12,"Nov 12, 2022",7:00 PM,Sat,Wyoming,14,@,Colorado State,13,
