,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
500,493,9,"Oct 22, 2022",7:00 PM,Sat,(6) Alabama,30,,(24) Mississippi State,6,
501,494,9,"Oct 22, 2022",12:00 PM,Sat,Army,48,,Louisiana-Monroe,24,
502,495,9,"Oct 22, 2022",12:00 PM,Sat,Baylor,35,,Kansas,23,
503,496,9,"Oct 22, 2022",7:00 PM,Sat,Boise State,19,@,Air Force,14,
504,497,9,"Oct 22, 2022",1:00 PM,Sat,Bowling Green,34,@,Central Michigan,18,
505,498,9,"Oct 22, 2022",1:00 PM,Sat,Buffalo,34,,Toledo,27,
506,499,9,"Oct 22, 2022",12:00 PM,Sat,(21) Cincinnati,29,@,Southern Methodist,27,
507,500,9,"Oct 22, 2022",12:00 PM,Sat,(5) Clemson,27,,(14) Syracuse,21,
508,501,9,"Oct 22, 2022",4:00 PM,Sat,Colorado State,17,,Hawaii,13,
509,502,9,"Oct 22, 2022",12:30 PM,Sat,Duke,45,@,Miami (FL),21,
510,503,9,"Oct 22, 2022",7:30 PM,Sat,East Carolina,34,,Central Florida,13,
511,504,9,"Oct 22, 2022",2:00 PM,Sat,Eastern Michigan,20,@,Ball State,16,
512,505,9,"Oct 22, 2022",3:30 PM,Sat,Florida International,34,@,Charlotte,15,
513,506,9,"Oct 22, 2022",6:30 PM,Sat,Fresno State,41,@,New Mexico,9,
514,507,9,"Oct 22, 2022",3:30 PM,Sat,Georgia Southern,28,@,Old Dominion,23,
515,508,9,"Oct 22, 2022",12:00 PM,Sat,Houston,38,@,Navy,20,
516,509,9,"Oct 22, 2022",12:00 PM,Sat,Kent State,33,,Akron,27,
517,510,9,"Oct 22, 2022",3:30 PM,Sat,Liberty,41,,Brigham Young,14,
518,511,9,"Oct 22, 2022",5:00 PM,Sat,Louisiana,38,,Arkansas State,18,
519,512,9,"Oct 22, 2022",3:30 PM,Sat,Louisiana State,45,,(7) Mississippi,20,
520,513,9,"Oct 22, 2022",8:00 PM,Sat,Louisville,24,,Pittsburgh,10,
521,514,9,"Oct 22, 2022",3:30 PM,Sat,Marshall,26,@,James Madison,12,
522,515,9,"Oct 22, 2022",3:30 PM,Sat,Maryland,31,,Northwestern,24,
523,516,9,"Oct 22, 2022",4:00 PM,Sat,Missouri,17,,Vanderbilt,14,
524,517,9,"Oct 22, 2022",2:30 PM,Sat,Notre Dame,44,,Nevada-Las Vegas,21,
525,518,9,"Oct 22, 2022",2:00 PM,Sat,Ohio,24,,Northern Illinois,17,
526,519,9,"Oct 22, 2022",12:00 PM,Sat,(2) Ohio State,54,,Iowa,10,
527,520,9,"Oct 22, 2022",3:30 PM,Sat,(11) Oklahoma State,41,,(20) Texas,34,
528,521,9,"Oct 22, 2022",3:30 PM,Sat,(10) Oregon,45,,(9) UCLA,30,
529,522,9,"Oct 22, 2022",8:00 PM,Sat,Oregon State,42,,Colorado,9,
530,523,9,"Oct 22, 2022",7:30 PM,Sat,(16) Penn State,45,,Minnesota,17,
531,524,9,"Oct 22, 2022",3:00 PM,Sat,Rice,42,@,Louisiana Tech,41,
532,525,9,"Oct 22, 2022",12:00 PM,Sat,Rutgers,24,,Indiana,17,
533,526,9,"Oct 22, 2022",10:30 PM,Sat,San Diego State,23,@,Nevada,7,
534,527,9,"Oct 22, 2022",6:00 PM,Sat,San Jose State,0,@,New Mexico State,0,
535,528,9,"Oct 22, 2022",7:30 PM,Sat,South Carolina,30,,Texas A&M,24,
536,529,9,"Oct 22, 2022",5:00 PM,Sat,Southern Mississippi,20,@,Texas State,14,
537,530,9,"Oct 22, 2022",4:00 PM,Sat,Stanford,15,,Arizona State,14,
538,531,9,"Oct 22, 2022",12:00 PM,Sat,(3) Tennessee,65,,Tennessee-Martin,24,
539,532,9,"Oct 22, 2022",8:00 PM,Sat,(8) Texas Christian,38,,(17) Kansas State,28,
540,533,9,"Oct 22, 2022",3:00 PM,Sat,Texas Tech,48,,West Virginia,10,
541,534,9,"Oct 22, 2022",4:00 PM,Sat,Texas-El Paso,24,,Florida Atlantic,21,
542,535,9,"Oct 22, 2022",3:30 PM,Sat,Texas-San Antonio,31,,North Texas,27,
543,536,9,"Oct 22, 2022",3:30 PM,Sat,(25) Tulane,38,,Memphis,28,
544,537,9,"Oct 22, 2022",3:30 PM,Sat,(13) Wake Forest,43,,Boston College,15,
545,538,9,"Oct 22, 2022",10:30 PM,Sat,Washington,28,@,California,21,
546,539,9,"Oct 22, 2022",3:30 PM,Sat,Western Michigan,16,@,Miami (OH),10,
547,540,9,"Oct 22, 2022",3:30 PM,Sat,Wisconsin,35,,Purdue,24,
548,541,9,"Oct 22, 2022",9:45 PM,Sat,Wyoming,28,,Utah State,14,
