,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
12,12,2,"Sep 1, 2022",6:00 PM,Thu,Akron,30,,St. Francis (PA),23,
13,13,2,"Sep 1, 2022",8:00 PM,Thu,Alabama-Birmingham,59,,Alabama A&M,0,
14,14,2,"Sep 1, 2022",10:00 PM,Thu,Arizona State,40,,Northern Arizona,3,
15,15,2,"Sep 1, 2022",7:00 PM,Thu,Central Florida,56,,South Carolina State,10,
16,16,2,"Sep 1, 2022",7:00 PM,Thu,Florida International,38,,Bryant,37,
17,17,2,"Sep 1, 2022",10:30 PM,Thu,Fresno State,35,,Cal Poly,7,
18,18,2,"Sep 1, 2022",9:00 PM,Thu,Minnesota,38,,New Mexico State,0,
19,19,2,"Sep 1, 2022",8:00 PM,Thu,Missouri,52,,Louisiana Tech,24,
20,20,2,"Sep 1, 2022",8:00 PM,Thu,Northern Illinois,34,,Eastern Illinois,27,
21,21,2,"Sep 1, 2022",7:00 PM,Thu,(12) Oklahoma State,58,,Central Michigan,44,
22,22,2,"Sep 1, 2022",8:00 PM,Thu,Penn State,35,@,Purdue,31,
23,23,2,"Sep 1, 2022",7:00 PM,Thu,(17) Pittsburgh,38,,West Virginia,31,
24,24,2,"Sep 1, 2022",10:30 PM,Thu,San Jose State,21,,Portland State,17,
25,25,2,"Sep 1, 2022",7:00 PM,Thu,Tennessee,59,,Ball State,10,
26,26,2,"Sep 1, 2022",7:00 PM,Thu,Toledo,37,,Long Island,0,
27,27,2,"Sep 1, 2022",7:30 PM,Thu,(22) Wake Forest,44,,Virginia Military Institute,10,
