,Rk,Wk,Date,Time,Day,Winner,Pts,Unnamed: 7,Loser,Pts.1,Notes
555,547,10,"Oct 29, 2022",3:30 PM,Sat,Appalachian State,42,,Robert Morris,3,
556,548,10,"Oct 29, 2022",7:30 PM,Sat,Arizona State,42,@,Colorado,34,
557,549,10,"Oct 29, 2022",12:00 PM,Sat,Arkansas,41,@,Auburn,27,
558,550,10,"Oct 29, 2022",7:30 PM,Sat,Baylor,45,@,Texas Tech,17,
559,551,10,"Oct 29, 2022",7:00 PM,Sat,Boise State,49,,Colorado State,10,
560,552,10,"Oct 29, 2022",3:30 PM,Sat,Central Florida,25,,(20) Cincinnati,21,
561,553,10,"Oct 29, 2022",2:00 PM,Sat,Charlotte,56,@,Rice,23,
562,554,10,"Oct 29, 2022",7:00 PM,Sat,Coastal Carolina,24,@,Marshall,13,
563,555,10,"Oct 29, 2022",12:00 PM,Sat,Connecticut,13,,Boston College,3,
564,556,10,"Oct 29, 2022",7:00 PM,Sat,Florida Atlantic,24,,Alabama-Birmingham,17,
565,557,10,"Oct 29, 2022",12:00 PM,Sat,Florida State,41,,Georgia Tech,16,
566,558,10,"Oct 29, 2022",10:30 PM,Sat,Fresno State,32,,San Diego State,28,
567,559,10,"Oct 29, 2022",3:30 PM,Sat,(1) Georgia,42,N,Florida,20,
568,560,10,"Oct 29, 2022",3:00 PM,Sat,Georgia State,31,,Old Dominion,17,
569,561,10,"Oct 29, 2022",12:00 PM,Sat,Houston,42,,South Florida,27,
570,562,10,"Oct 29, 2022",3:30 PM,Sat,(17) Illinois,26,@,Nebraska,9,
571,563,10,"Oct 29, 2022",3:30 PM,Sat,Iowa,33,,Northwestern,13,
572,564,10,"Oct 29, 2022",3:30 PM,Sat,(22) Kansas State,48,,(9) Oklahoma State,0,
573,565,10,"Oct 29, 2022",3:30 PM,Sat,Louisville,48,,(10) Wake Forest,21,
574,566,10,"Oct 29, 2022",12:30 PM,Sat,Miami (FL),14,@,Virginia,12,
575,567,10,"Oct 29, 2022",12:00 PM,Sat,Miami (OH),27,@,Akron,9,
576,568,10,"Oct 29, 2022",7:30 PM,Sat,(4) Michigan,29,,Michigan State,7,
577,569,10,"Oct 29, 2022",9:00 PM,Sat,Middle Tennessee State,24,@,Texas-El Paso,13,
578,570,10,"Oct 29, 2022",2:30 PM,Sat,Minnesota,31,,Rutgers,0,
579,571,10,"Oct 29, 2022",7:30 PM,Sat,(15) Mississippi,31,@,Texas A&M,28,
580,572,10,"Oct 29, 2022",4:00 PM,Sat,Missouri,23,@,(25) South Carolina,10,
581,573,10,"Oct 29, 2022",3:30 PM,Sat,Navy,27,,Temple,20,
582,574,10,"Oct 29, 2022",3:30 PM,Sat,New Mexico State,23,@,Massachusetts,13,
583,575,10,"Oct 29, 2022",8:00 PM,Sat,(21) North Carolina,42,,Pittsburgh,24,
584,576,10,"Oct 29, 2022",3:30 PM,Sat,North Texas,40,@,Western Kentucky,13,
585,577,10,"Oct 29, 2022",12:00 PM,Sat,Notre Dame,41,@,(16) Syracuse,24,
586,578,10,"Oct 29, 2022",12:00 PM,Sat,(2) Ohio State,44,@,(13) Penn State,31,
587,579,10,"Oct 29, 2022",12:00 PM,Sat,Oklahoma,27,@,Iowa State,13,
588,580,10,"Oct 29, 2022",3:30 PM,Sat,(8) Oregon,42,@,California,24,
589,581,10,"Oct 29, 2022",10:30 PM,Sat,San Jose State,35,,Nevada,28,
590,582,10,"Oct 29, 2022",4:00 PM,Sat,South Alabama,31,@,Arkansas State,3,
591,583,10,"Oct 29, 2022",6:00 PM,Sat,(10) Southern California,45,@,Arizona,37,
592,584,10,"Oct 29, 2022",3:30 PM,Sat,Southern Methodist,45,@,Tulsa,34,
593,585,10,"Oct 29, 2022",7:00 PM,Sat,(3) Tennessee,44,,(19) Kentucky,6,
594,586,10,"Oct 29, 2022",12:00 PM,Sat,(7) Texas Christian,41,@,West Virginia,31,
595,587,10,"Oct 29, 2022",12:00 PM,Sat,Toledo,27,@,Eastern Michigan,24,
596,588,10,"Oct 29, 2022",10:30 PM,Sat,(12) UCLA,38,,Stanford,13,
