,Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL
161,11,Sun,2022-11-20,1:00PM,Buffalo Bills,,Cleveland Browns,boxscore,31,23,357,0,396,1
162,11,Sun,2022-11-20,1:00PM,Detroit Lions,@,New York Giants,boxscore,31,18,325,0,413,3
163,11,Sun,2022-11-20,1:00PM,Washington Commanders,@,Houston Texans,boxscore,23,10,344,0,148,2
164,11,Sun,2022-11-20,1:00PM,New England Patriots,,New York Jets,boxscore,10,3,297,0,103,0
165,11,Sun,2022-11-20,1:00PM,Atlanta Falcons,,Chicago Bears,boxscore,27,24,280,2,288,1
166,11,Sun,2022-11-20,1:00PM,Baltimore Ravens,,Carolina Panthers,boxscore,13,3,308,1,205,3
167,11,Sun,2022-11-20,1:00PM,Philadelphia Eagles,@,Indianapolis Colts,boxscore,17,16,314,2,284,1
168,11,Sun,2022-11-20,1:00PM,New Orleans Saints,,Los Angeles Rams,boxscore,27,20,323,0,336,0
169,11,Sun,2022-11-20,4:05PM,Las Vegas Raiders,@,Denver Broncos,boxscore,22,16,407,0,320,0
170,11,Sun,2022-11-20,4:25PM,Cincinnati Bengals,@,Pittsburgh Steelers,boxscore,37,30,408,2,351,0
171,11,Sun,2022-11-20,4:25PM,Dallas Cowboys,@,Minnesota Vikings,boxscore,40,3,458,0,183,1
172,11,Sun,2022-11-20,8:20PM,Kansas City Chiefs,@,Los Angeles Chargers,boxscore,30,27,485,1,365,2
