,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
164,"Fri, Mar 24, 2023",7:00p,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
165,"Fri, Mar 24, 2023",7:00p,San Antonio Spurs,,Washington Wizards,,,,,Capital One Arena,
166,"Fri, Mar 24, 2023",7:30p,Detroit Pistons,,Toronto Raptors,,,,,Scotiabank Arena,
167,"Fri, Mar 24, 2023",8:00p,Houston Rockets,,Memphis Grizzlies,,,,,FedEx Forum,
168,"Fri, Mar 24, 2023",8:30p,Charlotte Hornets,,Dallas Mavericks,,,,,American Airlines Center,
169,"Fri, Mar 24, 2023",9:00p,Milwaukee Bucks,,Utah Jazz,,,,,Vivint Arena,
170,"Fri, Mar 24, 2023",10:00p,Philadelphia 76ers,,Golden State Warriors,,,,,Chase Center,
171,"Fri, Mar 24, 2023",10:00p,Chicago Bulls,,Portland Trail Blazers,,,,,Moda Center,
172,"Fri, Mar 24, 2023",10:00p,Phoenix Suns,,Sacramento Kings,,,,,Golden 1 Center,
173,"Fri, Mar 24, 2023",10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,Crypto.com Arena,
