,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2,"Sun, Apr 2, 2023",1:00p,Toronto Raptors,,Charlotte Hornets,,,,,Spectrum Center,
3,"Sun, Apr 2, 2023",3:30p,Utah Jazz,,Brooklyn Nets,,,,,Barclays Center,
4,"Sun, Apr 2, 2023",3:30p,Memphis Grizzlies,,Chicago Bulls,,,,,United Center,
5,"Sun, Apr 2, 2023",3:30p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,Target Center,
6,"Sun, Apr 2, 2023",6:00p,Dallas Mavericks,,Atlanta Hawks,,,,,State Farm Arena,
7,"Sun, Apr 2, 2023",6:00p,San Antonio Spurs,,Sacramento Kings,,,,,Golden 1 Center,
8,"Sun, Apr 2, 2023",6:00p,Detroit Pistons,,Orlando Magic,,,,,Amway Center,
9,"Sun, Apr 2, 2023",6:00p,Washington Wizards,,New York Knicks,,,,,Madison Square Garden (IV),
10,"Sun, Apr 2, 2023",7:00p,Los Angeles Lakers,,Houston Rockets,,,,,Toyota Center,
11,"Sun, Apr 2, 2023",7:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,Paycom Center,
12,"Sun, Apr 2, 2023",8:00p,Philadelphia 76ers,,Milwaukee Bucks,,,,,Fiserv Forum,
13,"Sun, Apr 2, 2023",8:00p,Indiana Pacers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
14,"Sun, Apr 2, 2023",8:30p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
