,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
41,"Fri, Apr 7, 2023",7:00p,Houston Rockets,,Charlotte Hornets,,,,,Spectrum Center,
42,"Fri, Apr 7, 2023",7:00p,Miami Heat,,Washington Wizards,,,,,Capital One Arena,
43,"Fri, Apr 7, 2023",7:00p,Detroit Pistons,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
44,"Fri, Apr 7, 2023",7:30p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,
45,"Fri, Apr 7, 2023",7:30p,Toronto Raptors,,Boston Celtics,,,,,TD Garden,
46,"Fri, Apr 7, 2023",7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,State Farm Arena,
47,"Fri, Apr 7, 2023",8:00p,Memphis Grizzlies,,Milwaukee Bucks,,,,,Fiserv Forum,
48,"Fri, Apr 7, 2023",8:00p,New York Knicks,,New Orleans Pelicans,,,,,Smoothie King Center,
49,"Fri, Apr 7, 2023",8:30p,Chicago Bulls,,Dallas Mavericks,,,,,American Airlines Center,
50,"Fri, Apr 7, 2023",10:00p,Golden State Warriors,,Sacramento Kings,,,,,Golden 1 Center,
51,"Fri, Apr 7, 2023",10:30p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,
