,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
132,"Sat, Nov 19, 2022",6:00p,Toronto Raptors,122.0,Atlanta Hawks,124.0,Box Score,OT,18051.0,State Farm Arena,
133,"Sat, Nov 19, 2022",7:00p,Orlando Magic,113.0,Indiana Pacers,114.0,Box Score,,14478.0,Gainbridge Fieldhouse,
134,"Sat, Nov 19, 2022",7:30p,Minnesota Timberwolves,112.0,Philadelphia 76ers,109.0,Box Score,,20515.0,Wells Fargo Center,
135,"Sat, Nov 19, 2022",10:00p,Utah Jazz,118.0,Portland Trail Blazers,113.0,Box Score,,19595.0,Moda Center,
136,"Sat, Nov 19, 2022",10:30p,San Antonio Spurs,97.0,Los Angeles Clippers,119.0,Box Score,,18581.0,Crypto.com Arena,
