,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
103,"Fri, Dec 16, 2022",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,Spectrum Center,
104,"Fri, Dec 16, 2022",7:00p,Sacramento Kings,,Detroit Pistons,,,,,Little Caesars Arena,
105,"Fri, Dec 16, 2022",7:30p,Orlando Magic,,Boston Celtics,,,,,TD Garden,
106,"Fri, Dec 16, 2022",7:30p,Indiana Pacers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
107,"Fri, Dec 16, 2022",7:30p,Golden State Warriors,,Philadelphia 76ers,,,,,Wells Fargo Center,
108,"Fri, Dec 16, 2022",7:30p,Brooklyn Nets,,Toronto Raptors,,,,,Scotiabank Arena,
109,"Fri, Dec 16, 2022",8:00p,New York Knicks,,Chicago Bulls,,,,,United Center,
110,"Fri, Dec 16, 2022",8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
111,"Fri, Dec 16, 2022",8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,American Airlines Center,
112,"Fri, Dec 16, 2022",10:00p,Denver Nuggets,,Los Angeles Lakers,,,,,Crypto.com Arena,
