,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
209,"Mon, Jan 30, 2023",7:00p,Orlando Magic,,Philadelphia 76ers,,,,,Wells Fargo Center,
210,"Mon, Jan 30, 2023",7:30p,Los Angeles Lakers,,Brooklyn Nets,,,,,Barclays Center,
211,"Mon, Jan 30, 2023",8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,
212,"Mon, Jan 30, 2023",8:00p,Golden State Warriors,,Oklahoma City Thunder,,,,,Paycom Center,
213,"Mon, Jan 30, 2023",8:00p,Washington Wizards,,San Antonio Spurs,,,,,AT&T Center,
214,"Mon, Jan 30, 2023",8:30p,Detroit Pistons,,Dallas Mavericks,,,,,American Airlines Center,
215,"Mon, Jan 30, 2023",9:00p,Toronto Raptors,,Phoenix Suns,,,,,Footprint Center,
216,"Mon, Jan 30, 2023",10:00p,Atlanta Hawks,,Portland Trail Blazers,,,,,Moda Center,
