,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
59,"Thu, Mar 9, 2023",7:00p,Charlotte Hornets,,Detroit Pistons,,,,,Little Caesars Arena,
60,"Thu, Mar 9, 2023",7:00p,Houston Rockets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
61,"Thu, Mar 9, 2023",7:00p,Utah Jazz,,Orlando Magic,,,,,Amway Center,
62,"Thu, Mar 9, 2023",7:30p,Brooklyn Nets,,Milwaukee Bucks,,,,,Fiserv Forum,
63,"Thu, Mar 9, 2023",10:00p,Golden State Warriors,,Memphis Grizzlies,,,,,FedEx Forum,
64,"Thu, Mar 9, 2023",10:00p,New York Knicks,,Sacramento Kings,,,,,Golden 1 Center,
