,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
204,"Fri, Dec 30, 2022",7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,
205,"Fri, Dec 30, 2022",7:30p,Los Angeles Lakers,,Atlanta Hawks,,,,,State Farm Arena,
206,"Fri, Dec 30, 2022",7:30p,Phoenix Suns,,Toronto Raptors,,,,,Scotiabank Arena,
207,"Fri, Dec 30, 2022",8:00p,Detroit Pistons,,Chicago Bulls,,,,,United Center,
208,"Fri, Dec 30, 2022",8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,Fiserv Forum,
209,"Fri, Dec 30, 2022",8:30p,Philadelphia 76ers,,New Orleans Pelicans,,,,,Smoothie King Center,
210,"Fri, Dec 30, 2022",9:00p,Miami Heat,,Denver Nuggets,,,,,Ball Arena,
211,"Fri, Dec 30, 2022",10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
212,"Fri, Dec 30, 2022",10:00p,Utah Jazz,,Sacramento Kings,,,,,Golden 1 Center,
