,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
104,"Wed, Feb 15, 2023",7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,Spectrum Center,
105,"Wed, Feb 15, 2023",7:00p,Chicago Bulls,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
106,"Wed, Feb 15, 2023",7:00p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,Wells Fargo Center,
107,"Wed, Feb 15, 2023",7:30p,New York Knicks,,Atlanta Hawks,,,,,State Farm Arena,
108,"Wed, Feb 15, 2023",7:30p,Detroit Pistons,,Boston Celtics,,,,,TD Garden,
109,"Wed, Feb 15, 2023",7:30p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
110,"Wed, Feb 15, 2023",8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,
111,"Wed, Feb 15, 2023",8:00p,Houston Rockets,,Oklahoma City Thunder,,,,,Paycom Center,
112,"Wed, Feb 15, 2023",9:00p,Dallas Mavericks,,Denver Nuggets,,,,,Ball Arena,
113,"Wed, Feb 15, 2023",10:00p,New Orleans Pelicans,,Los Angeles Lakers,,,,,Crypto.com Arena,
