,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
102,"Wed, Mar 15, 2023",7:30p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
103,"Wed, Mar 15, 2023",7:30p,Memphis Grizzlies,,Miami Heat,,,,,FTX Arena,
104,"Wed, Mar 15, 2023",8:00p,Sacramento Kings,,Chicago Bulls,,,,,United Center,
105,"Wed, Mar 15, 2023",8:00p,Los Angeles Lakers,,Houston Rockets,,,,,Toyota Center,
106,"Wed, Mar 15, 2023",8:00p,Boston Celtics,,Minnesota Timberwolves,,,,,Target Center,
107,"Wed, Mar 15, 2023",8:30p,Dallas Mavericks,,San Antonio Spurs,,,,,AT&T Center,
108,"Wed, Mar 15, 2023",10:00p,Golden State Warriors,,Los Angeles Clippers,,,,,Crypto.com Arena,
