,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
141,"Wed, Dec 21, 2022",7:00p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
142,"Wed, Dec 21, 2022",7:00p,Detroit Pistons,,Philadelphia 76ers,,,,,Wells Fargo Center,
143,"Wed, Dec 21, 2022",7:30p,Chicago Bulls,,Atlanta Hawks,,,,,State Farm Arena,
144,"Wed, Dec 21, 2022",7:30p,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
145,"Wed, Dec 21, 2022",7:30p,Golden State Warriors,,Brooklyn Nets,,,,,Barclays Center,
146,"Wed, Dec 21, 2022",7:30p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),
147,"Wed, Dec 21, 2022",8:00p,Orlando Magic,,Houston Rockets,,,,,Toyota Center,
148,"Wed, Dec 21, 2022",8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
149,"Wed, Dec 21, 2022",8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,Paycom Center,
150,"Wed, Dec 21, 2022",10:00p,Los Angeles Lakers,,Sacramento Kings,,,,,Golden 1 Center,
151,"Wed, Dec 21, 2022",10:30p,Charlotte Hornets,,Los Angeles Clippers,,,,,Crypto.com Arena,
