,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
1,"Fri, Dec 2, 2022",7:00p,Washington Wizards,,Charlotte Hornets,,,,,Spectrum Center,
2,"Fri, Dec 2, 2022",7:30p,Denver Nuggets,,Atlanta Hawks,,,,,State Farm Arena,
3,"Fri, Dec 2, 2022",7:30p,Miami Heat,,Boston Celtics,,,,,TD Garden,
4,"Fri, Dec 2, 2022",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,Barclays Center,
5,"Fri, Dec 2, 2022",7:30p,Orlando Magic,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
6,"Fri, Dec 2, 2022",7:30p,Los Angeles Lakers,,Milwaukee Bucks,,,,,Fiserv Forum,
7,"Fri, Dec 2, 2022",8:00p,Philadelphia 76ers,,Memphis Grizzlies,,,,,FedEx Forum,
8,"Fri, Dec 2, 2022",8:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,AT&T Center,
9,"Fri, Dec 2, 2022",9:00p,Houston Rockets,,Phoenix Suns,,,,,Footprint Center,
10,"Fri, Dec 2, 2022",9:00p,Indiana Pacers,,Utah Jazz,,,,,Vivint Arena,
11,"Fri, Dec 2, 2022",10:00p,Chicago Bulls,,Golden State Warriors,,,,,Chase Center,
